stage,arm,pair_idx,pair,garment_sim,identity_cos,pose_err,bg_psnr
holdout,fashn_v16,11,p024xg009,0.4091359258109359,0.9945611953735352,0.05524048303476374,23.77474958630497
holdout,fashn_v16,12,p025xg013,0.015534679516249771,0.9455410838127136,0.05710003925675619,27.108878700990257
holdout,fashn_v16,13,p026xg020,0.06061731104843433,0.9753668904304504,0.03318469212469485,28.05299554383492
holdout,fashn_v16,14,p027xg025,-0.007292413838984775,0.9755024313926697,0.017687335630049355,44.78549411663191
holdout,fashn_v16,15,p028xg030,0.15468496001875914,0.9785118103027344,0.03529194435601153,22.681869195250812
holdout,fashn_v16,16,p029xg005,0.013892564910102857,0.9808395504951477,0.01591963229722807,31.56564880259293
holdout,fashn_v16,17,p030xg003,0.33276646986685476,0.9942616820335388,0.028759014128650843,31.508206571281754
holdout,flux_vto_v1,0,p004xg010,0.026553721787963436,0.8803005218505859,0.018218694002716376,30.721740092860173
holdout,flux_vto_v1,1,p014xg008,0.06141294768176591,0.9637815356254578,0.03325055544567166,27.73520528971597
holdout,flux_vto_v1,2,p015xg026,0.10055587698527146,0.9633399248123169,0.05023128966218988,24.295944453193314
holdout,flux_vto_v1,3,p016xg014,0.0019438655293557033,0.604093611240387,0.03862909240616497,26.392809603349075
holdout,flux_vto_v1,4,p017xg029,0.13767303168898815,0.9279385805130005,0.02864136020634039,27.472586574152285
holdout,flux_vto_v1,5,p018xg027,-0.0023047565319084698,0.8612452745437622,0.19865007141706664,33.87511990486112
holdout,flux_vto_v1,6,p019xg017,0.18968371807883708,0.9365511536598206,0.0476325421419263,26.934952623337033
holdout,flux_vto_v1,7,p020xg016,-0.014486622020699065,0.8926942348480225,,27.945640174258216
holdout,flux_vto_v1,8,p021xg012,0.08580581907043378,0.8613239526748657,0.05338602377845003,31.1608041430108
holdout,flux_vto_v1,9,p022xg021,0.03449699885647376,0.8207962512969971,0.04602301992548661,30.301824724280696
holdout,flux_vto_v1,10,p023xg018,0.34621717693096254,0.9082595109939575,0.09265491692705337,22.057481432974015
holdout,flux_vto_v1,11,p024xg009,0.14471569199308207,0.963238000869751,0.05227652678036172,29.65714351990831
holdout,flux_vto_v1,12,p025xg013,0.04571634326817821,0.6830571889877319,0.10770270493358604,23.926853414581885
holdout,flux_vto_v1,13,p026xg020,0.2477237614058443,0.829994797706604,0.04799364807367225,27.879334490828672
holdout,flux_vto_v1,14,p027xg025,0.11512104626260314,0.9493074417114258,0.03522523660577827,31.742021868239195
holdout,flux_vto_v1,15,p028xg030,0.10279913745027348,0.8787356019020081,0.058037395328492565,32.21855394515954
holdout,flux_vto_v1,16,p029xg005,0.012911025038950778,0.9021746516227722,0.016270340785183874,29.951856570996735
holdout,flux_vto_v1,17,p030xg003,0.30204706391169095,0.9302797317504883,0.05326713699290909,30.00739873955399
holdout,qwen_2511,0,p004xg010,-0.013459364545011909,0.8761795163154602,0.055123199870312264,18.65399139457672
holdout,qwen_2511,1,p014xg008,0.00605550661728437,0.9696708917617798,0.08514214292944905,14.387077570562363
holdout,qwen_2511,2,p015xg026,0.016886955898896727,0.9750010371208191,0.08622047049836903,12.992992081095526
holdout,qwen_2511,3,p016xg014,0.019067153764551127,-0.02775714546442032,2.137017888189287,12.840154037310935
holdout,qwen_2511,4,p017xg029,0.08702414097361602,0.9543011784553528,0.10506389342545454,16.46288684910285
holdout,qwen_2511,5,p018xg027,0.015488592573102908,0.8980819582939148,0.13909008025840644,15.859486118197086
holdout,qwen_2511,6,p019xg017,0.09958027465639425,0.929144561290741,0.09629052010726744,15.768160880794778
holdout,qwen_2511,7,p020xg016,-0.010773657055873602,0.945906400680542,,14.672547047976972
holdout,qwen_2511,8,p021xg012,0.10241226561312008,0.9416709542274475,0.16548652811834572,15.97968627911152
